fd_code,fd_name,yield,sf_type,unit_nav,f_type
530001,建信恒久价值混合,123.5374,3,1.1344,fund
163822,中银主题策略混合,123.5077,3,3.6320,fund
001508,富国新动力混合A,123.4358,3,2.8990,fund
002537,平安安盈灵活配置混合A,123.2540,3,2.3464,fund
005794,银华心怡混合,123.1788,3,2.8136,fund
270028,广发制造业精选混合,123.1033,3,5.2050,fund
005136,华安幸福生活混合,122.7371,3,2.2688,fund
001069,华泰柏瑞消费成长,122.4138,3,2.4510,fund
000390,华商优势行业混合,122.3602,3,1.1600,fund
006269,永赢智能领先C,122.3599,3,2.2256,fund
000431,鹏华品牌传承混合,122.1306,3,3.2320,fund
001951,金鹰改革红利混合,121.8837,3,2.4030,fund
000601,华宝创新混合,121.5385,3,2.3040,fund
519704,交银先进制造混合,121.3529,3,4.1667,fund
006051,鹏扬核心价值混合A,120.9352,3,2.2869,fund
163807,中银优选混合,120.8594,3,1.1062,fund
005911,广发双擎升级混合,120.8000,3,2.8039,fund
673060,西部利得景瑞混合A,120.5860,3,2.3050,fund
000263,工银信息产业混合,120.1970,3,3.5760,fund
121010,国投瑞银瑞源混合,120.0681,3,3.1034,fund
001510,富国新动力混合C,120.0502,3,2.7990,fund
006424,嘉合锦程混合A,119.5817,3,2.0381,fund
570008,诺德周期策略混合,119.0000,3,3.2850,fund
167001,平安鼎泰混合,118.8414,3,1.6319,fund
005299,万家成长优选混合A,117.5123,3,2.5164,fund
001864,中海魅力长三角混合,117.4868,3,2.4750,fund
519095,新华行业周期轮换混合,117.2779,3,3.8154,fund
005535,泰信竞争优选混合,116.9802,3,2.1016,fund
610006,信达澳银产业升级混合,116.9462,3,2.4580,fund
001220,民生加银研究精算,116.8675,3,1.6200,fund
005119,银华智荟内在价值灵活配置混合发起式,116.4057,3,1.9351,fund
000939,中银研究精选混合,116.2082,3,0.7930,fund
004374,华泰保兴吉年丰A,115.6345,3,2.2633,fund
210003,金鹰行业优势混合,115.6057,3,2.6554,fund
000547,建信健康民生混合,115.5664,3,5.2900,fund
002542,长城久鼎混合,115.0697,3,2.2849,fund
001832,易方达瑞恒混合,114.7982,3,2.3950,fund
001811,中欧明睿新常态混合,114.7799,3,2.6304,fund
519642,银河智造混合,114.7011,3,2.6580,fund
006425,嘉合锦程混合C,114.5568,3,1.9838,fund
519003,海富通收益增长混合,114.5381,3,2.3140,fund
002291,诺安安鑫灵活配置混合,114.5333,3,2.4135,fund
004375,华泰保兴吉年丰C,114.2953,3,2.2366,fund
005300,万家成长优选混合C,114.1416,3,2.4622,fund
002170,东吴移动互联混合C,114.0343,3,1.8728,fund
002446,广发利鑫灵活配置混合A,113.9494,3,2.4540,fund
007012,湘财长顺混合发起式A,113.9223,3,0.9805,fund
001018,易方达新经济混合,113.4014,3,3.5510,fund
530006,建信核心精选混合,113.3966,3,2.8040,fund
001323,东吴移动互联混合A,112.6131,3,1.8795,fund
006527,富国优质发展混合A,112.5286,3,1.9040,fund
003714,英大睿盛混合C,112.3252,3,2.1151,fund
000584,新华鑫益混合,112.1407,3,4.8559,fund
005596,建信战略精选混合A,112.0488,3,2.1911,fund
001701,中融产业升级混合,111.4667,3,2.3790,fund
003713,英大睿盛混合A,111.4233,3,2.0567,fund
540003,汇丰晋信动态策略混合A,111.3147,3,4.2096,fund
001120,东方睿鑫热点挖掘混合A,111.0777,3,1.2652,fund
377240,上投摩根新兴动力混合,110.8400,3,5.7728,fund
006624,中泰玉衡价值优选混合,110.5761,3,2.1822,fund
007013,湘财长顺混合发起式C,110.0683,3,0.9759,fund
005028,鹏华研究精选混合,109.8733,3,2.2532,fund
005765,中欧明睿新常态混合C,109.7768,3,2.5697,fund
000727,融通健康产业混合,109.6850,3,2.6630,fund
160624,鹏华消费领先混合,109.6650,3,3.8180,fund
000006,西部利得量化成长混合A,109.3747,3,1.8147,fund
001468,广发改革混合,109.2188,3,1.3390,fund
005164,富荣福锦混合A,109.1586,3,2.0211,fund
001218,国投瑞银精选收益混合,109.1140,3,1.2990,fund
002181,华安大安全主题混合,108.8889,3,2.0680,fund
006252,永赢消费主题A,108.8379,3,2.8592,fund
001808,银华互联网主题混合,108.8036,3,1.8500,fund
000541,华商创新成长混合,108.7748,3,2.5220,fund
005597,建信战略精选混合C,108.7612,3,2.1469,fund
006528,富国优质发展混合C,108.7501,3,1.8641,fund
161611,融通内需驱动混合,108.5581,3,2.2420,fund
000603,易方达创新驱动,108.4061,3,1.9090,fund
002482,宝盈互联网沪港深混合,108.1811,3,2.6210,fund
481010,工银瑞信中小盘混合,108.1774,3,3.0040,fund
005165,富荣福锦混合C,108.1383,3,1.9923,fund
001487,宝盈优势产业混合A,108.0360,3,2.6587,fund
519674,银河创新混合,108.0242,3,5.7708,fund
001479,中邮风格轮动混合,107.9787,3,2.3460,fund
210008,金鹰策略配置混合,107.8443,3,2.3661,fund
000061,华夏盛世混合,107.7612,3,1.3920,fund
161834,银华鑫锐灵活配置混合（LOF）,107.7179,3,1.7350,fund
006567,中泰星元灵活配置混合A,107.2917,3,2.4676,fund
006253,永赢消费主题C,107.0980,3,2.8360,fund
290011,泰信中小盘精选混合,106.7001,3,3.3010,fund
750001,安信策略精选混合,106.3391,3,2.6040,fund
004139,中邮军民融合混合,106.3125,3,1.8368,fund
001809,中信建投智信物联网A,106.2457,3,2.1167,fund
519171,浦银安盛医疗健康混合,105.7059,3,1.4583,fund
001457,华商新常态混合,105.5107,3,0.8830,fund
519026,海富通中小盘混合,105.4734,3,1.5842,fund
570001,诺德价值优势混合,105.2513,3,2.7255,fund
003095,中欧医疗健康混合A,104.9405,3,2.5360,fund
202027,南方高端装备灵活配置混合A,104.9180,3,3.1250,fund
005739,富国转型机遇混合,104.8892,3,2.0618,fund
004423,华商研究精选混合,104.8762,3,2.7310,fund
090016,大成消费主题混合,104.7351,3,1.8160,fund
002133,广发鑫益混合,104.7081,3,2.1740,fund
161903,万家行业优选混合,104.5460,3,1.2541,fund
001322,东吴新趋势价值线混合,104.5155,3,1.0553,fund
630011,华商主题精选混合,104.5045,3,2.4970,fund
002708,大摩健康产业混合,104.2275,3,2.6570,fund
519033,海富通国策导向混合,104.1778,3,2.2970,fund
002180,中银移动互联混合,104.0174,3,1.8790,fund
001538,上投摩根科技前沿混合,103.9702,3,2.4660,fund
004636,中信建投智信物联网C,103.8188,3,2.1776,fund
168501,北信瑞丰产业升级,103.8095,3,2.1400,fund
483003,工银精选平衡混合,103.5479,3,0.6388,fund
001869,招商制造业混合,103.5314,3,2.3630,fund
000612,华宝生态混合,103.5264,3,4.0400,fund
001121,东方睿鑫热点挖掘混合C,103.1402,3,1.1709,fund
240004,华宝动力组合混合,102.9719,3,2.9368,fund
519909,华安安顺混合,102.7421,3,3.4750,fund
002256,金信行业优选混合,102.5731,3,1.7320,fund
003751,万家瑞隆混合A,102.5690,3,2.3498,fund
688888,浙商聚潮产业成长混合,102.0988,3,1.8690,fund
002249,招商境远灵活配置混合,102.0563,3,2.1028,fund
519773,交银数据产业灵活配置混合,101.7641,3,1.8300,fund
005904,华泰保兴成长优选A,101.7351,3,2.2207,fund
003096,中欧医疗健康混合C,101.4738,3,2.4920,fund
002681,金鹰元和混合A,101.4555,3,1.1028,fund
487016,工银灵活配置混合A,101.2209,3,2.4227,fund
002620,中邮未来新蓝筹混合,101.2117,3,2.8230,fund
000698,宝盈科技30混合,100.9921,3,3.0390,fund
003291,信达澳银健康中国混合A,100.9804,3,2.0500,fund
005760,富国周期优势混合,100.8770,3,2.5196,fund
163810,中银价值混合,100.8065,3,2.9880,fund
004868,交银股息优化混合,100.3738,3,2.4123,fund
005207,南方高端装备混合C,100.0000,3,3.0180,fund
006122,华安低碳生活混合,99.9399,3,1.9964,fund
003152,华富天鑫混合A,99.8659,3,1.6391,fund
610004,信达澳银中小盘混合,99.5659,3,2.1400,fund
005905,华泰保兴成长优选C,99.4422,3,2.1811,fund
005472,富国价值驱动灵活配置混合A,99.4102,3,1.8932,fund
002160,南方驱动混合,99.4083,3,2.6960,fund
001715,工银新焦点混合A,99.0562,3,2.0881,fund
168102,九泰锐富事件驱动,99.0282,3,1.7000,fund
005689,中银医疗保健混合,98.8968,3,2.2175,fund
004569,招商制造业混合C,98.8696,3,2.2870,fund
000534,长盛高端装备混合,98.7326,3,3.1360,fund
410007,华富价值增长混合,98.6789,3,2.3611,fund
519198,万家颐和灵活配置混合,98.4972,3,1.5370,fund
000242,景顺长城策略精选,98.2616,3,2.3950,fund
005775,中加转型动力混合A,98.2381,3,2.4191,fund
630015,华商大盘量化混合,98.2085,3,2.4340,fund
001287,安信优势增长混合,98.1657,3,2.9839,fund
001007,国联安鑫安混合,98.1091,3,0.9470,fund
001276,建信新经济混合,98.1065,3,1.6740,fund
020023,国泰事件驱动混合,98.0307,3,5.0280,fund
004958,圆信永丰优享生活混合,98.0158,3,2.0259,fund
001398,华泰柏瑞健康生活,97.8458,3,1.7450,fund
