found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year,yield
2018-07-30,006002,谭冬寒,37亿,工银医药健康股票A,工银瑞信基金管理有限公司,2.4049,2018-07-30,11,120.7356
2019-03-26,006751,许炎,44亿,富国互联科技股票,富国基金管理有限公司,2.1910,2019-03-26,9,120.6223
2019-01-29,006052,邓彬彬,4亿,鹏扬核心价值混合C,鹏扬基金管理有限公司,2.2433,2020-06-29,15,120.3418
2017-11-09,004925,姚奕帆 左金保,9亿,长信低碳环保行业量化股票型证券投资基金,长信基金管理公司,2.0560,2017-11-09,12,119.5643
2015-07-29,001473,王东杰,2亿,建信大安全战略精选,建信基金管理有限责任公司,3.0193,2015-07-29,14,117.8427
2015-03-26,001043,王君正,19亿,工银美丽城镇股票,工银瑞信基金管理有限公司,2.6200,2015-03-26,14,117.7889
2015-12-30,001616,姚志鹏,59亿,嘉实环保低碳股票,嘉实基金管理有限公司,3.0070,2018-03-21,11,117.7408
2017-12-27,005161,童立,2884万,华商上游产业,华商基金管理有限公司,2.1214,2017-12-27,11,117.5126
2015-04-28,001171,赵蓓,40亿,工银养老产业股票,工银瑞信基金管理有限公司,1.7730,2015-04-28,14,116.7482
2018-07-30,006003,谭冬寒,37亿,工银医药健康股票C,工银瑞信基金管理有限公司,2.3439,2018-07-30,11,116.6176
2016-03-01,001718,张宇帆,55亿,工银物流产业股票,工银瑞信基金管理有限公司,3.1430,2016-03-01,15,115.1266
2015-04-14,001126,李德辉,23亿,上投摩根卓越制造股票,上投摩根基金管理有限公司,1.4270,2018-06-15,10,113.1701
2013-12-13,000418,周寒颖 邓敬东,3亿,景顺长城成长之星基金,景顺长城基金管理有限公司,3.9510,2020-05-21,16,112.9919
2015-04-28,001158,张剑峰,23亿,工银新材料新能源股票,工银瑞信基金管理有限公司,1.4500,2016-09-19,17,111.6788
2017-04-25,003745,唐晓斌 刘格菘,45亿,广发多元新兴股票,广发基金管理有限公司,2.0365,2018-11-05,12,111.6504
2017-08-10,004851,吴兴武,136亿,广发医疗保健股票A,广发基金管理有限公司,2.5128,2018-10-16,13,111.5686
2016-02-04,002168,姚志鹏,60亿,嘉实智能汽车股票,嘉实基金管理有限公司,3.2460,2016-04-30,11,111.4658
2015-03-24,001070,邵卓,10亿,建信信息产业,建信基金管理有限责任公司,2.7290,2015-03-24,12,109.6006
2014-11-18,000831,谭冬寒 赵蓓,49亿,工银医疗保健股票,工银瑞信基金管理有限公司,3.0760,2014-11-18,14,109.5368
2016-09-07,003145,柯海东,2亿,中融竞争优势,中融基金管理有限公司,1.6669,2019-01-25,12,108.5972
2014-09-16,000696,赵剑,58亿,添富环保行业,汇添富基金管理股份有限公司,2.2010,2020-05-20,13,107.8376
2015-04-24,001039,刘杰,14亿,嘉实先进制造股票,嘉实基金管理有限公司,1.6930,2021-05-27,16,107.7301
2015-11-26,001677,王伟,4亿,中银战略新兴产业,中银基金管理有限公司,2.5990,2021-12-08,12,105.7799
2015-06-25,001496,胡志利 王筱苓,4亿,工银聚焦30股票,工银瑞信基金管理有限公司,1.4330,2018-01-23,25,104.4223
2017-09-15,005037,杨腾 张凯 李宜璇,14亿,银华新能源新材料股票A,银华基金管理股份有限公司,1.6805,2021-09-28,13,103.2289
2015-08-26,001692,雷嘉源,2亿,南方国策动力,南方基金管理股份有限公司,2.1780,2021-06-04,13,102.9823
2015-07-10,001490,李威,9亿,添富国企创新增长,汇添富基金管理股份有限公司,1.8910,2015-07-10,14,102.6795
2015-05-22,001236,沙炜,12亿,博时丝路主题股票A,博时基金管理有限公司,1.8900,2015-05-22,14,102.3555
2016-08-30,003230,皮劲松,9亿,创金合信医疗保健股票A,创金合信基金管理有限公司,2.3914,2018-10-31,10,101.3811
2017-09-15,005038,杨腾 张凯 李宜璇,14亿,银华新能源新材料股票C,银华基金管理股份有限公司,1.6478,2021-09-28,13,100.7309
2016-09-07,002980,屠环宇 林晶,21亿,华夏创新前沿股票,华夏基金管理有限公司,2.1420,2018-01-17,17,99.8134
2016-03-22,002556,沙炜,12亿,博时丝路主题股票C,博时基金管理有限公司,1.8540,2016-03-22,14,99.3548
2017-11-09,005235,杨腾 李宜璇,7亿,银华食品饮料A,银华基金管理股份有限公司,2.2052,2020-10-29,9,99.2411
2016-02-03,001645,徐治彪,19亿,国泰大健康股票A,国泰基金管理有限公司,2.6010,2017-10-30,10,98.6760
2015-01-30,000960,李佳存,34亿,招商医药健康产业股票,招商基金管理有限公司,2.4460,2015-01-30,14,98.2172
2005-02-02,162703,刘格菘,134亿,广发小盘成长混合（LOF）,广发基金管理有限公司,1.8597,2017-06-19,12,98.0059
2015-11-10,001705,秦毅,32亿,泓德战略转型股票,泓德基金管理有限公司,1.3818,2019-10-29,7,97.9325
2016-08-30,003231,皮劲松,9亿,创金合信医疗保健股票C,创金合信基金管理有限公司,2.3440,2018-10-31,10,97.4726
