found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2018-04-18,005885,倪超,26亿,金鹰信息产业股票C,金鹰基金管理有限公司,3.0895,2022-03-14,13
2017-03-16,003985,熊昱洲 姚志鹏,77亿,嘉实新能源股票C,嘉实基金管理有限公司,2.6205,2017-03-16,11
2012-04-16,206012,张鹏 胡东健,3亿,鹏华价值精选,鹏华基金管理有限公司,2.9460,2015-06-26,11
2009-12-25,217013,韩冰,2亿,招商中小盘股票,招商基金管理有限公司,3.2870,2015-05-05,11
2017-06-21,001576,王阳,39亿,国泰智能装备股票A,国泰基金管理有限公司,2.4310,2018-11-13,11
2019-01-17,006257,冯明远,35亿,信达先进智造,信达澳亚基金管理有限公司,2.3478,2019-01-17,12
2014-09-10,000756,周智硕,2亿,建信潜力新蓝筹,建信基金管理有限责任公司,3.1990,2020-09-18,13
2017-08-11,004640,吕佳玮,7亿,华夏节能环保股票,华夏基金管理有限公司,1.8247,2017-08-11,10
2017-03-23,004075,楼慧源,39亿,交银施罗德医药创新股票型证券投资基金,交银施罗德基金公司,2.8236,2018-09-12,8
2018-07-30,006002,谭冬寒,37亿,工银医药健康股票A,工银瑞信基金管理有限公司,2.4049,2018-07-30,11
2019-03-26,006751,许炎,44亿,富国互联科技股票,富国基金管理有限公司,2.1910,2019-03-26,9
2019-01-29,006052,邓彬彬,4亿,鹏扬核心价值混合C,鹏扬基金管理有限公司,2.2433,2020-06-29,15
2017-11-09,004925,姚奕帆 左金保,9亿,长信低碳环保行业量化股票型证券投资基金,长信基金管理公司,2.0560,2017-11-09,12
2015-07-29,001473,王东杰,2亿,建信大安全战略精选,建信基金管理有限责任公司,3.0193,2015-07-29,14
2015-03-26,001043,王君正,19亿,工银美丽城镇股票,工银瑞信基金管理有限公司,2.6200,2015-03-26,14
2015-12-30,001616,姚志鹏,59亿,嘉实环保低碳股票,嘉实基金管理有限公司,3.0070,2018-03-21,11
2017-12-27,005161,童立,2884万,华商上游产业,华商基金管理有限公司,2.1214,2017-12-27,11
2015-04-28,001171,赵蓓,40亿,工银养老产业股票,工银瑞信基金管理有限公司,1.7730,2015-04-28,14
2018-07-30,006003,谭冬寒,37亿,工银医药健康股票C,工银瑞信基金管理有限公司,2.3439,2018-07-30,11
2016-03-01,001718,张宇帆,55亿,工银物流产业股票,工银瑞信基金管理有限公司,3.1430,2016-03-01,15
2015-04-14,001126,李德辉,23亿,上投摩根卓越制造股票,上投摩根基金管理有限公司,1.4270,2018-06-15,10
2013-12-13,000418,周寒颖 邓敬东,3亿,景顺长城成长之星基金,景顺长城基金管理有限公司,3.9510,2020-05-21,16
2015-04-28,001158,张剑峰,23亿,工银新材料新能源股票,工银瑞信基金管理有限公司,1.4500,2016-09-19,17
2017-04-25,003745,唐晓斌 刘格菘,45亿,广发多元新兴股票,广发基金管理有限公司,2.0365,2018-11-05,12
2017-08-10,004851,吴兴武,136亿,广发医疗保健股票A,广发基金管理有限公司,2.5128,2018-10-16,13
2016-02-04,002168,姚志鹏,60亿,嘉实智能汽车股票,嘉实基金管理有限公司,3.2460,2016-04-30,11
2015-03-24,001070,邵卓,10亿,建信信息产业,建信基金管理有限责任公司,2.7290,2015-03-24,12
2014-11-18,000831,谭冬寒 赵蓓,49亿,工银医疗保健股票,工银瑞信基金管理有限公司,3.0760,2014-11-18,14
2016-09-07,003145,柯海东,2亿,中融竞争优势,中融基金管理有限公司,1.6669,2019-01-25,12
2014-09-16,000696,赵剑,58亿,添富环保行业,汇添富基金管理股份有限公司,2.2010,2020-05-20,13
